Variant: 7
Itr|    z(0)|    y(0)|               Delta
  0.234|  0.0003928962213521  |   0.00000|  0.18793|  0.36629|  0.52694|  0.66446|  0.77694|  0.86629|  0.93793|  1.00000|
  0.254|  0.0004588102914815  |   0.00000|  0.19319|  0.37600|  0.53963|  0.67819|  0.78963|  0.87600|  0.94319|  1.00000|
  0.273|  0.0005289546393741  |   0.00000|  0.19845|  0.38572|  0.55233|  0.69194|  0.80233|  0.88572|  0.94845|  1.00000|
  0.293|  0.0006031682596692  |   0.00000|  0.20371|  0.39544|  0.56502|  0.70568|  0.81502|  0.89544|  0.95371|  1.00000|
  0.313|  0.0006812962749082  |   0.00000|  0.20897|  0.40516|  0.57773|  0.71943|  0.82773|  0.90516|  0.95897|  1.00000|
  0.332|  0.0007631897023045  |   0.00000|  0.21424|  0.41489|  0.59043|  0.73319|  0.84043|  0.91489|  0.96424|  1.00000|
  0.352|  0.0008487052293912  |   0.00000|  0.21950|  0.42461|  0.60315|  0.74694|  0.85315|  0.92461|  0.96950|  1.00000|
  0.371|  0.0009377049982076  |   0.00000|  0.22477|  0.43435|  0.61586|  0.76070|  0.86586|  0.93435|  0.97477|  1.00000|
  0.391|  0.0010300563976988  |   0.00000|  0.23003|  0.44408|  0.62857|  0.77447|  0.87857|  0.94408|  0.98003|  1.00000|
  0.410|  0.0011256318640182  |   0.00000|  0.23530|  0.45381|  0.64129|  0.78824|  0.89129|  0.95381|  0.98530|  1.00000|
  0.430|  0.0012243086884284  |   0.00000|  0.24057|  0.46355|  0.65402|  0.80201|  0.90402|  0.96355|  0.99057|  1.00000|
  0.449|  0.0013259688325157  |   0.00000|  0.24584|  0.47329|  0.66674|  0.81578|  0.91674|  0.97329|  0.99584|  1.00000|
  0.469|  0.0014304987504358  |   0.00000|  0.25112|  0.48303|  0.67947|  0.82956|  0.92947|  0.98303|  1.00112|  1.00000|
  0.488|  0.0015377892179259  |   0.00000|  0.25639|  0.49277|  0.69220|  0.84333|  0.94220|  0.99277|  1.00639|  1.00000|
  0.508|  0.0016477351678241  |   0.00000|  0.26166|  0.50252|  0.70493|  0.85712|  0.95493|  1.00252|  1.01166|  1.00000|
  0.527|  0.0017602355318491  |   0.00000|  0.26694|  0.51227|  0.71767|  0.87090|  0.96767|  1.01227|  1.01694|  1.00000|
  0.547|  0.0018751930884023  |   0.00000|  0.27221|  0.52202|  0.73041|  0.88469|  0.98041|  1.02202|  1.02221|  1.00000|
  0.566|  0.0019925143161618  |   0.00000|  0.27749|  0.53177|  0.74314|  0.89848|  0.99314|  1.03177|  1.02749|  1.00000|
  0.586|  0.0021121092532488  |   0.00000|  0.28277|  0.54152|  0.75589|  0.91227|  1.00589|  1.04152|  1.03277|  1.00000|
  0.605|  0.0022338913617549  |   0.00000|  0.28805|  0.55127|  0.76863|  0.92606|  1.01863|  1.05127|  1.03805|  1.00000|
  0.625|  0.0023577773974246  |   0.00000|  0.29333|  0.56103|  0.78138|  0.93986|  1.03138|  1.06103|  1.04333|  1.00000|
  0.645|  0.0024836872842984  |   0.00000|  0.29861|  0.57078|  0.79412|  0.95366|  1.04412|  1.07078|  1.04861|  1.00000|
  0.664|  0.0026115439941263  |   0.00000|  0.30389|  0.58054|  0.80687|  0.96746|  1.05687|  1.08054|  1.05389|  1.00000|
  0.684|  0.0027412734303717  |   0.00000|  0.30917|  0.59030|  0.81962|  0.98126|  1.06962|  1.09030|  1.05917|  1.00000|
  0.703|  0.0028728043166293  |   0.00000|  0.31445|  0.60006|  0.83238|  0.99506|  1.08238|  1.10006|  1.06445|  1.00000|
  0.723|  0.0030060680892907  |   0.00000|  0.31973|  0.60982|  0.84513|  1.00887|  1.09513|  1.10982|  1.06973|  1.00000|
  0.742|  0.0031409987942941  |   0.00000|  0.32502|  0.61959|  0.85789|  1.02267|  1.10789|  1.11959|  1.07502|  1.00000|
  0.762|  0.0032775329878052  |   0.00000|  0.33030|  0.62935|  0.87064|  1.03648|  1.12064|  1.12935|  1.08030|  1.00000|
  0.781|  0.0034156096406763  |   0.00000|  0.33559|  0.63911|  0.88340|  1.05029|  1.13340|  1.13911|  1.08559|  1.00000|
  0.801|  0.0035551700465439  |   0.00000|  0.34087|  0.64888|  0.89616|  1.06410|  1.14616|  1.14888|  1.09087|  1.00000|
  0.820|  0.0036961577334218  |   0.00000|  0.34616|  0.65865|  0.90892|  1.07791|  1.15892|  1.15865|  1.09616|  1.00000|
  0.840|  0.0038385183786616  |   0.00000|  0.35144|  0.66842|  0.92169|  1.09173|  1.17169|  1.16842|  1.10144|  1.00000|
  0.859|  0.0039821997271468  |   0.00000|  0.35673|  0.67818|  0.93445|  1.10554|  1.18445|  1.17818|  1.10673|  1.00000|
  0.879|  0.0041271515126031  |   0.00000|  0.36202|  0.68795|  0.94722|  1.11936|  1.19722|  1.18795|  1.11202|  1.00000|
  0.898|  0.0042733253819025  |   0.00000|  0.36731|  0.69773|  0.95998|  1.13318|  1.20998|  1.19773|  1.11731|  1.00000|
  0.918|  0.0044206748222484  |   0.00000|  0.37260|  0.70750|  0.97275|  1.14700|  1.22275|  1.20750|  1.12260|  1.00000|
  0.938|  0.0045691550911320  |   0.00000|  0.37788|  0.71727|  0.98552|  1.16082|  1.23552|  1.21727|  1.12788|  1.00000|
  0.957|  0.0047187231489547  |   0.00000|  0.38317|  0.72704|  0.99829|  1.17464|  1.24829|  1.22704|  1.13317|  1.00000|
  0.977|  0.0048693375942153  |   0.00000|  0.38846|  0.73682|  1.01106|  1.18846|  1.26106|  1.23682|  1.13846|  1.00000|
  0.996|  0.0050209586011631  |   0.00000|  0.39375|  0.74659|  1.02383|  1.20229|  1.27383|  1.24659|  1.14375|  1.00000|

Del_T = 0.0050209586011631

N = 16
    t  |       delta          x:  0.00000|  0.06250|  0.12500|  0.18750|  0.25000|  0.31250|  0.37500|  0.43750|  0.50000|  0.56250|  0.62500|  0.68750|  0.75000|  0.81250|  0.87500|  0.93750|  1.00000|
  0.005|  0.000000000000e+00  |   0.00000|  0.06317|  0.12631|  0.18940|  0.25242|  0.31534|  0.37816|  0.44085|  0.50342|  0.56585|  0.62816|  0.69034|  0.75242|  0.81440|  0.87631|  0.93817|  1.00000|
  0.010|  1.057032454899e-07  |   0.00000|  0.06383|  0.12762|  0.19130|  0.25483|  0.31818|  0.38132|  0.44420|  0.50684|  0.56920|  0.63132|  0.69318|  0.75483|  0.81630|  0.87762|  0.93883|  1.00000|
  0.015|  3.160942074754e-07  |   0.00000|  0.06450|  0.12892|  0.19320|  0.25725|  0.32103|  0.38447|  0.44756|  0.51025|  0.57256|  0.63447|  0.69603|  0.75725|  0.81820|  0.87892|  0.93950|  1.00000|
  0.020|  6.301671133802e-07  |   0.00000|  0.06517|  0.13023|  0.19510|  0.25967|  0.32387|  0.38763|  0.45091|  0.51367|  0.57591|  0.63763|  0.69887|  0.75967|  0.82010|  0.88023|  0.94017|  1.00000|
  0.024|  1.046925853343e-06  |   0.00000|  0.06583|  0.13154|  0.19700|  0.26209|  0.32671|  0.39079|  0.45426|  0.51709|  0.57926|  0.64079|  0.70171|  0.76209|  0.82200|  0.88154|  0.94083|  1.00000|
  0.029|  1.565383887736e-06  |   0.00000|  0.06650|  0.13285|  0.19889|  0.26450|  0.32955|  0.39395|  0.45762|  0.52051|  0.58262|  0.64395|  0.70455|  0.76450|  0.82389|  0.88285|  0.94150|  1.00000|
  0.034|  2.184564154795e-06  |   0.00000|  0.06717|  0.13416|  0.20079|  0.26692|  0.33240|  0.39711|  0.46097|  0.52393|  0.58597|  0.64711|  0.70740|  0.76692|  0.82579|  0.88416|  0.94217|  1.00000|
  0.039|  2.903498979800e-06  |   0.00000|  0.06784|  0.13547|  0.20269|  0.26934|  0.33524|  0.40027|  0.46432|  0.52735|  0.58932|  0.65027|  0.71024|  0.76934|  0.82769|  0.88547|  0.94284|  1.00000|
  0.044|  3.721229984821e-06  |   0.00000|  0.06850|  0.13677|  0.20459|  0.27175|  0.33808|  0.40342|  0.46767|  0.53077|  0.59267|  0.65342|  0.71308|  0.77175|  0.82959|  0.88677|  0.94350|  1.00000|
  0.049|  4.636807999336e-06  |   0.00000|  0.06917|  0.13808|  0.20649|  0.27417|  0.34092|  0.40658|  0.47103|  0.53418|  0.59603|  0.65658|  0.71592|  0.77417|  0.83149|  0.88808|  0.94417|  1.00000|
  0.054|  5.649292972087e-06  |   0.00000|  0.06984|  0.13939|  0.20839|  0.27659|  0.34377|  0.40974|  0.47438|  0.53760|  0.59938|  0.65974|  0.71877|  0.77659|  0.83339|  0.88939|  0.94484|  1.00000|
  0.059|  6.757753882924e-06  |   0.00000|  0.07050|  0.14070|  0.21029|  0.27901|  0.34661|  0.41290|  0.47773|  0.54102|  0.60273|  0.66290|  0.72161|  0.77901|  0.83529|  0.89070|  0.94550|  1.00000|
  0.063|  7.961268656431e-06  |   0.00000|  0.07117|  0.14201|  0.21219|  0.28142|  0.34945|  0.41606|  0.48109|  0.54444|  0.60609|  0.66606|  0.72445|  0.78142|  0.83719|  0.89201|  0.94617|  1.00000|
  0.068|  9.258924076105e-06  |   0.00000|  0.07184|  0.14332|  0.21409|  0.28384|  0.35229|  0.41922|  0.48444|  0.54786|  0.60944|  0.66922|  0.72729|  0.78384|  0.83909|  0.89332|  0.94684|  1.00000|
  0.073|  1.064981569876e-05  |   0.00000|  0.07250|  0.14462|  0.21599|  0.28626|  0.35514|  0.42238|  0.48779|  0.55128|  0.61279|  0.67238|  0.73014|  0.78626|  0.84099|  0.89462|  0.94750|  1.00000|
  0.078|  1.213304777070e-05  |   0.00000|  0.07317|  0.14593|  0.21789|  0.28868|  0.35798|  0.42554|  0.49115|  0.55470|  0.61615|  0.67554|  0.73298|  0.78868|  0.84289|  0.89593|  0.94817|  1.00000|
  0.083|  1.370773314402e-05  |   0.00000|  0.07384|  0.14724|  0.21979|  0.29110|  0.36082|  0.42870|  0.49450|  0.55812|  0.61950|  0.67870|  0.73582|  0.79110|  0.84479|  0.89724|  0.94884|  1.00000|
  0.088|  1.537299319398e-05  |   0.00000|  0.07451|  0.14855|  0.22169|  0.29351|  0.36367|  0.43185|  0.49786|  0.56154|  0.62286|  0.68185|  0.73867|  0.79351|  0.84669|  0.89855|  0.94951|  1.00000|
  0.093|  1.712795773701e-05  |   0.00000|  0.07517|  0.14986|  0.22359|  0.29593|  0.36651|  0.43501|  0.50121|  0.56496|  0.62621|  0.68501|  0.74151|  0.79593|  0.84859|  0.89986|  0.95017|  1.00000|
  0.098|  1.897176494980e-05  |   0.00000|  0.07584|  0.15117|  0.22549|  0.29835|  0.36935|  0.43817|  0.50456|  0.56838|  0.62956|  0.68817|  0.74435|  0.79835|  0.85049|  0.90117|  0.95084|  1.00000|
  0.103|  2.090356128892e-05  |   0.00000|  0.07651|  0.15248|  0.22739|  0.30077|  0.37220|  0.44133|  0.50792|  0.57180|  0.63292|  0.69133|  0.74720|  0.80077|  0.85239|  0.90248|  0.95151|  1.00000|
  0.107|  2.292250141100e-05  |   0.00000|  0.07717|  0.15378|  0.22929|  0.30319|  0.37504|  0.44449|  0.51127|  0.57522|  0.63627|  0.69449|  0.75004|  0.80319|  0.85429|  0.90378|  0.95217|  1.00000|
  0.112|  2.502774809454e-05  |   0.00000|  0.07784|  0.15509|  0.23119|  0.30561|  0.37789|  0.44765|  0.51463|  0.57864|  0.63963|  0.69765|  0.75289|  0.80561|  0.85619|  0.90509|  0.95284|  1.00000|
  0.117|  2.721847216114e-05  |   0.00000|  0.07851|  0.15640|  0.23309|  0.30802|  0.38073|  0.45081|  0.51798|  0.58206|  0.64298|  0.70081|  0.75573|  0.80802|  0.85809|  0.90640|  0.95351|  1.00000|
  0.122|  2.949385239903e-05  |   0.00000|  0.07918|  0.15771|  0.23499|  0.31044|  0.38357|  0.45397|  0.52134|  0.58548|  0.64634|  0.70397|  0.75857|  0.81044|  0.85999|  0.90771|  0.95418|  1.00000|
  0.127|  3.185307548581e-05  |   0.00000|  0.07984|  0.15902|  0.23689|  0.31286|  0.38642|  0.45713|  0.52469|  0.58890|  0.64969|  0.70713|  0.76142|  0.81286|  0.86189|  0.90902|  0.95484|  1.00000|
