Variant: 5
Itr|    z(0)|    y(0)|               Delta
  0.293|  0.0004308344711924  |   0.00000|  0.18122|  0.35388|  0.51073|  0.64692|  0.76073|  0.85388|  0.93122|  1.00000|
  0.313|  0.0004866401963631  |   0.00000|  0.18498|  0.36083|  0.51981|  0.65674|  0.76981|  0.86083|  0.93498|  1.00000|
  0.332|  0.0005451355016461  |   0.00000|  0.18874|  0.36778|  0.52888|  0.66656|  0.77888|  0.86778|  0.93874|  1.00000|
  0.352|  0.0006062180209938  |   0.00000|  0.19250|  0.37472|  0.53796|  0.67639|  0.78796|  0.87472|  0.94250|  1.00000|
  0.371|  0.0006697892844341  |   0.00000|  0.19626|  0.38168|  0.54704|  0.68622|  0.79704|  0.88168|  0.94626|  1.00000|
  0.391|  0.0007357545697849  |   0.00000|  0.20002|  0.38863|  0.55612|  0.69605|  0.80612|  0.88863|  0.95002|  1.00000|
  0.410|  0.0008040227600130  |   0.00000|  0.20379|  0.39558|  0.56521|  0.70588|  0.81521|  0.89558|  0.95379|  1.00000|
  0.430|  0.0008745062060204  |   0.00000|  0.20755|  0.40254|  0.57430|  0.71572|  0.82430|  0.90254|  0.95755|  1.00000|
  0.449|  0.0009471205946541  |   0.00000|  0.21132|  0.40949|  0.58339|  0.72556|  0.83339|  0.90949|  0.96132|  1.00000|
  0.469|  0.0010217848217399  |   0.00000|  0.21508|  0.41645|  0.59248|  0.73540|  0.84248|  0.91645|  0.96508|  1.00000|
  0.488|  0.0010984208699470  |   0.00000|  0.21885|  0.42341|  0.60157|  0.74524|  0.85157|  0.92341|  0.96885|  1.00000|
  0.508|  0.0011769536913029  |   0.00000|  0.22262|  0.43037|  0.61067|  0.75508|  0.86067|  0.93037|  0.97262|  1.00000|
  0.527|  0.0012573110941779  |   0.00000|  0.22638|  0.43733|  0.61976|  0.76493|  0.86976|  0.93733|  0.97638|  1.00000|
  0.547|  0.0013394236345731  |   0.00000|  0.23015|  0.44430|  0.62886|  0.77478|  0.87886|  0.94430|  0.98015|  1.00000|
  0.566|  0.0014232245115441  |   0.00000|  0.23392|  0.45126|  0.63796|  0.78463|  0.88796|  0.95126|  0.98392|  1.00000|
  0.586|  0.0015086494666062  |   0.00000|  0.23769|  0.45823|  0.64706|  0.79448|  0.89706|  0.95823|  0.98769|  1.00000|
  0.605|  0.0015956366869677  |   0.00000|  0.24146|  0.46519|  0.65616|  0.80433|  0.90616|  0.96519|  0.99146|  1.00000|
  0.625|  0.0016841267124461  |   0.00000|  0.24523|  0.47216|  0.66527|  0.81418|  0.91527|  0.97216|  0.99523|  1.00000|
  0.645|  0.0017740623459274  |   0.00000|  0.24900|  0.47913|  0.67437|  0.82404|  0.92437|  0.97913|  0.99900|  1.00000|
  0.664|  0.0018653885672331  |   0.00000|  0.25278|  0.48610|  0.68348|  0.83390|  0.93348|  0.98610|  1.00278|  1.00000|
  0.684|  0.0019580524502655  |   0.00000|  0.25655|  0.49307|  0.69259|  0.84375|  0.94259|  0.99307|  1.00655|  1.00000|
  0.703|  0.0020520030833067  |   0.00000|  0.26032|  0.50004|  0.70170|  0.85361|  0.95170|  1.00004|  1.01032|  1.00000|
  0.723|  0.0021471914923504  |   0.00000|  0.26410|  0.50702|  0.71081|  0.86348|  0.96081|  1.00702|  1.01410|  1.00000|
  0.742|  0.0022435705673529  |   0.00000|  0.26787|  0.51399|  0.71992|  0.87334|  0.96992|  1.01399|  1.01787|  1.00000|
  0.762|  0.0023410949912893  |   0.00000|  0.27164|  0.52096|  0.72903|  0.88320|  0.97903|  1.02096|  1.02164|  1.00000|
  0.781|  0.0024397211719116  |   0.00000|  0.27542|  0.52794|  0.73814|  0.89306|  0.98814|  1.02794|  1.02542|  1.00000|
  0.801|  0.0025394071761027  |   0.00000|  0.27919|  0.53491|  0.74726|  0.90293|  0.99726|  1.03491|  1.02919|  1.00000|
  0.820|  0.0026401126667299  |   0.00000|  0.28297|  0.54189|  0.75637|  0.91280|  1.00637|  1.04189|  1.03297|  1.00000|
  0.840|  0.0027417988419011  |   0.00000|  0.28675|  0.54887|  0.76549|  0.92266|  1.01549|  1.04887|  1.03675|  1.00000|
  0.859|  0.0028444283765333  |   0.00000|  0.29052|  0.55585|  0.77461|  0.93253|  1.02461|  1.05585|  1.04052|  1.00000|
  0.879|  0.0029479653661451  |   0.00000|  0.29430|  0.56282|  0.78373|  0.94240|  1.03373|  1.06282|  1.04430|  1.00000|
  0.898|  0.0030523752727876  |   0.00000|  0.29808|  0.56980|  0.79284|  0.95227|  1.04284|  1.06980|  1.04808|  1.00000|
  0.918|  0.0031576248730346  |   0.00000|  0.30185|  0.57678|  0.80196|  0.96214|  1.05196|  1.07678|  1.05185|  1.00000|
  0.938|  0.0032636822079515  |   0.00000|  0.30563|  0.58376|  0.81108|  0.97201|  1.06108|  1.08376|  1.05563|  1.00000|
  0.957|  0.0033705165349677  |   0.00000|  0.30941|  0.59074|  0.82020|  0.98189|  1.07020|  1.09074|  1.05941|  1.00000|
  0.977|  0.0034780982815823  |   0.00000|  0.31319|  0.59773|  0.82933|  0.99176|  1.07933|  1.09773|  1.06319|  1.00000|
  0.996|  0.0035863990008309  |   0.00000|  0.31697|  0.60471|  0.83845|  1.00163|  1.08845|  1.10471|  1.06697|  1.00000|

Del_T = 0.0035863990008309

N = 16
    t  |       delta          x:  0.00000|  0.06250|  0.12500|  0.18750|  0.25000|  0.31250|  0.37500|  0.43750|  0.50000|  0.56250|  0.62500|  0.68750|  0.75000|  0.81250|  0.87500|  0.93750|  1.00000|
  0.005|  0.000000000000e+00  |   0.00000|  0.06298|  0.12593|  0.18886|  0.25173|  0.31453|  0.37726|  0.43989|  0.50244|  0.56489|  0.62726|  0.68953|  0.75173|  0.81386|  0.87593|  0.93798|  1.00000|
  0.010|  7.550231828635e-08  |   0.00000|  0.06345|  0.12687|  0.19021|  0.25345|  0.31656|  0.37951|  0.44229|  0.50488|  0.56729|  0.62951|  0.69156|  0.75345|  0.81521|  0.87687|  0.93845|  1.00000|
  0.015|  2.257815767681e-07  |   0.00000|  0.06393|  0.12780|  0.19157|  0.25518|  0.31859|  0.38177|  0.44468|  0.50732|  0.56968|  0.63177|  0.69359|  0.75518|  0.81657|  0.87780|  0.93893|  1.00000|
  0.020|  4.501193666684e-07  |   0.00000|  0.06441|  0.12874|  0.19293|  0.25691|  0.32062|  0.38402|  0.44708|  0.50977|  0.57208|  0.63402|  0.69562|  0.75691|  0.81793|  0.87874|  0.93941|  1.00000|
